"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"15 Sept 2025 23:34:14 UTC","25490868382","Order","206-1787481-9550751","amzn.gr.WKTTB809URD-zErRxfqaw3KVQeO7--LN","Westinghouse Retro 4-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagel","1","amazon.co.uk","Amazon","PETERLEE","","SR8 5","MarketplaceFacilitator","60.79","12.16","2.07","0.42","0","0","0","0","-12.58","-13.24","-9.90","-0.46","0","39.26"
"16 Sept 2025 06:58:43 UTC","25490868382","Liquidations","31430092556552","X002CDSR9R","Westinghouse Retro 4-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagels, Sandwiches, & Croissants - Black","1","","","","","","","6.99","1.40","0","0","0","0","0","0","0","0","0","-5.28","0","3.11"
"16 Sept 2025 16:59:02 UTC","25490868382","Order","026-9859948-8323516","WKWKH148UWH","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Kettle (Cream","1","amazon.co.uk","Amazon","FRODSHAM","","WA6 9","MarketplaceFacilitator","46.62","9.33","0","0","0","0","0","0","-9.33","-10.15","-5.72","-0.31","0","30.44"
"16 Sept 2025 19:16:02 UTC","25490868382","FBA Inventory Fee","uGPcimVdzw","","FBA Disposal Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-12.99","-12.99"
"16 Sept 2025 19:16:05 UTC","25490868382","FBA Inventory Fee","uGPcimVdzw","","FBA Disposal Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-6.50","-6.50"
"16 Sept 2025 19:16:33 UTC","25490868382","FBA Inventory Fee","uGPcimVdzw","","FBA Disposal Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-26.00","-26.00"
"16 Sept 2025 19:16:36 UTC","25490868382","FBA Inventory Fee","uGPcimVdzw","","FBA Disposal Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-12.99","-12.99"
"16 Sept 2025 19:16:48 UTC","25490868382","FBA Inventory Fee","uGPcimVdzw","","FBA Disposal Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-6.49","-6.49"
"16 Sept 2025 19:16:48 UTC","25490868382","FBA Inventory Fee","uGPcimVdzw","","FBA Disposal Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-13.00","-13.00"
"16 Sept 2025 19:16:58 UTC","25490868382","FBA Inventory Fee","uGPcimVdzw","","FBA Disposal Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-13.00","-13.00"
"16 Sept 2025 19:17:01 UTC","25490868382","FBA Inventory Fee","uGPcimVdzw","","FBA Disposal Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-13.00","-13.00"
"16 Sept 2025 23:00:05 UTC","25490868382","Order","203-7710863-0052364","WKWKH148UBK","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Kettle (Black","1","amazon.co.uk","Amazon","HUDDERSFIELD","","HD8 0","MarketplaceFacilitator","46.62","9.33","1.66","0.33","0","0","-1.66","-0.33","-9.33","-10.15","-5.55","-0.32","0","30.60"
