"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"14 août 2025 12:25:30 UTC","25314042292","Commande","404-3943573-0453125","LUNA0045","Luna's Choice Trainermix Boules de saumon - Friandises pour chien pour l'entraînement - Friandises douces pour chien - Sans sucre ajouté - 500 g","4","amazon.fr","Vendeur","La Roquette Sur Siagne","","06550","","143,16","28,64","0","0","0","0","0","0","0","-31,17","0","-0,63","0","140,00"
"14 août 2025 13:36:26 UTC","25314042292","Remboursement","171-8341269-0079528","DRIN001","Universal-Schutzbügel für Tränkebecken Kerbl Arceau de Protection Universelle pour Abreuvoir 1","1","amazon.fr","Vendeur","Montigny les cormeilles","","95370","","-40,32","-8,06","0","0","0","0","0","0","0","7,03","0","0,18","0","-41,17"
"14 août 2025 22:18:08 UTC","25314042292","Commande","171-7364515-7087516","COME041","Dog Comets Star Chaser Jouet pour chien Interactif, Jeu pour chien - 9 vitesses jusqu'à 50 km/h - Télécommande jusqu'à 50 m - Stimule l'instinct d","1","amazon.fr","Vendeur","St Jean Des Baisants","","50810","","160,79","32,16","0","0","0","0","0","0","0","-35,02","0","-0,70","0","157,23"
"14 août 2025 23:30:22 UTC","25314042292","Commande","407-5316401-5592367","DRAGR57793","Dräger X-plore 3300 Masque de protection respiratoire adapté aux peintures solvants, époxy résine, poussières, demi-masque peinture avec 2 cartou","1","amazon.fr","Amazon","HUELGOAT","","29690","","38,88","7,78","0","0","0","0","0","0","0","-8,47","-7,90","-0,33","0","29,96"
"14 août 2025 23:40:08 UTC","25314042292","Commande","404-3269755-3270723","FLYB5240","Flybuster Bait 240 grammes","1","amazon.fr","Vendeur","Boutervilliers","","91150","","37,38","7,48","0","0","0","0","0","0","0","-8,14","0","-0,16","0","36,56"
"15 août 2025 16:33:03 UTC","25314042292","Commande","408-1519131-7867508","KNOC00172","Knock Off Derribar Huile Paraffine","1","amazon.fr","Vendeur","THIL","","31530","","49,76","9,95","0","0","0","0","0","0","0","-10,84","0","-0,22","0","48,65"
"15 août 2025 17:28:19 UTC","25314042292","Commande","406-8717079-8747518","HIGL5104","Excellent Hi Gloss Shampoo White - 500 ML - Shampooing Colorant pour raviver la Couleur Naturelle du Pelage - Convient aux Chevaux à Robe Blanche - S","1","amazon.fr","Amazon","Arras","","62000","","19,96","3,99","0","0","0","0","0","0","0","-4,35","-3,36","-0,16","0","16,08"
"18 août 2025 22:25:48 UTC","25314042292","Commande","404-7543555-9818753","JOLL037F","Jolly Pets Grand Ballon de Football Flottant rebondissant pour Chien, 20 cm de diamètre, Bleu océan","1","amazon.fr","Vendeur","COURSEGOULES","FRANCE","06140","","34,32","6,87","0","0","0","0","0","0","0","-7,47","0","-0,14","0","33,58"
"19 août 2025 23:47:41 UTC","25314042292","Commande","402-7010868-8504352","JOLL037F","Jolly Pets Grand Ballon de Football Flottant rebondissant pour Chien, 20 cm de diamètre, Bleu océan","1","amazon.fr","Vendeur","VILLECRESNES","","94440","","33,91","6,78","0","0","0","0","0","0","0","-7,38","0","-0,14","0","33,17"
"20 août 2025 16:16:48 UTC","25314042292","Commande","407-0896972-4337114","JOLL037F","Jolly Pets Grand Ballon de Football Flottant rebondissant pour Chien, 20 cm de diamètre, Bleu océan","1","amazon.fr","Vendeur","Saint-Gilles","","35590","","33,91","6,78","0","0","0","0","0","0","0","-7,38","0","-0,15","0","33,16"
"20 août 2025 16:30:10 UTC","25314042292","Commande","407-4701368-7773933","HIGL5092","Excellent Hi Gloss Shampoo Eucalyptus - 500 ML - Cheval - Shampooing nettoyant et nourrissant - avec après-shampooing - pour la Queue et la crinière","1","amazon.fr","Amazon","Roeschwoog","","67480","","11,62","2,33","0","0","0","0","0","0","0","-2,53","-7,33","-0,20","0","3,89"
"20 août 2025 21:10:31 UTC","25314042292","Commande","405-3018181-0802713","COOL028","CoolPets Bandana Rafraîchissant pour Chien M - Tour de Cou 38-46 cm - Collier Frais pour Chiens - Accessoire d'Été - 70 x 45 x 45 cm - Bleu","1","amazon.fr","Amazon","St Denis de Gastines","","53500","","9,12","1,83","0","0","0","0","0","0","0","-1,99","-3,04","-0,10","0","5,82"
"20 août 2025 22:45:14 UTC","25314042292","Commande","406-7891615-1577940","JOLL036B","Jolly Pets Ballon de Foot de 15 cm","1","amazon.fr","Amazon","BOISJEAN","","62170","","17,79","3,56","0","0","0","0","0","0","0","-3,87","-7,76","-0,23","0","9,49"
"21 août 2025 22:50:19 UTC","25314042292","Commande","402-3615534-1437164","HOOI018M06","Hay Slowfeeder Fun&Flex Ø 22 cm - Filet a Foin Chevaux - Slowfeeder Chevaux - Convient pour Les Animaux au pâturage - Contre la détérioration des","1","amazon.fr","Amazon","Les baroches","","54150","","23,92","4,78","0,83","0,17","0","0","-0,83","-0,17","0","-5,21","-8,27","-0,28","0","14,94"
"22 août 2025 21:56:29 UTC","25314042292","Commande","407-5904943-6101928","JOLL068M","Jolly Pets Ball Bounce-n Play Jouet pour Chien Rose 20 cm","1","amazon.fr","Amazon","Bois-le-Roi","","77590","","22,75","4,55","0","0","0","0","0","0","0","-4,96","-16,55","-0,42","0","5,37"
"23 août 2025 22:41:34 UTC","25314042292","Commande","403-2085219-4545115","MAXI5075","Hofman Maximus Power Play Ball Jouet pour cheval Jaune 75 cm","1","amazon.fr","Amazon","AVENSAN","","33480","","24,69","4,94","0","0","0","0","0","0","0","-5,37","-12,81","-0,35","0","11,10"
"24 août 2025 00:04:27 UTC","25314042292","Commande","406-0628229-4883532","MOSE0608","WAHL Peigne pour Cheval Adore/Adelar","1","amazon.fr","Amazon","Le Mesnil St Jean","St Georges Du Mesnil","27560","","8,29","1,66","0","0","0","0","0","0","0","-1,94","-3,37","-0,11","0","4,53"
"24 août 2025 00:04:27 UTC","25314042292","Commande","406-0628229-4883532","MOSE0608","WAHL Peigne pour Cheval Adore/Adelar","1","amazon.fr","Amazon","Le Mesnil St Jean","St Georges Du Mesnil","27560","","8,29","1,66","0","0","0","0","0","0","0","0","-3,38","-0,07","0","6,50"
"25 août 2025 15:30:13 UTC","25403267282","Commande","405-4739422-5525120","COME041","Dog Comets Star Chaser Jouet pour chien Interactif, Jeu pour chien - 9 vitesses jusqu'à 50 km/h - Télécommande jusqu'à 50 m - Stimule l'instinct d","1","amazon.fr","Vendeur","Bernolsheim","","67170","","145,83","29,17","0","0","0","0","0","0","0","-31,77","0","-0,64","0","142,59"
"25 août 2025 21:24:02 UTC","25403267282","Commande","404-1800619-3809159","LUGO01000","EXCELLENT Fournitures de soins de santé Lugol 1%","1","amazon.fr","Vendeur","Hundling","","57990","","39,96","7,99","0","0","0","0","0","0","0","-8,70","0","-0,17","0","39,08"
"25 août 2025 22:35:20 UTC","25403267282","Commande","404-7202920-2621103","FLYB5240","Flybuster Bait 240 grammes","1","amazon.fr","Vendeur","Maiche","","25120","","33,72","6,74","0","0","0","0","0","0","0","-7,34","0","-0,14","0","32,98"
"26 août 2025 07:26:53 UTC","25403267282","Transfert","","","Sur le compte se terminant par : 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-902,56","-902,56"
"26 août 2025 11:59:34 UTC","25403267282","Commande","406-7680866-9740339","COWD000","Vache Drencher","1","amazon.fr","Vendeur","Sixt-sur-Aff","","35550","","171,62","34,33","0","0","0","0","0","0","0","-37,37","0","-0,75","0","167,83"
"26 août 2025 12:53:14 UTC","25403267282","Commande","404-0475213-2455520","JOLL036B","Jolly Pets Ballon de Foot de 15 cm","1","amazon.fr","Amazon","Survilliers","","95470","","17,71","3,54","0","0","0","0","0","0","0","-3,85","-12,63","-0,33","0","4,44"
"26 août 2025 13:14:02 UTC","25403267282","Commingling VAT","20292571172","B001IWOOGK","EXCELLENT Suministros Para La Alimentación Cubo De Acero Inoxidable 8.5 L","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,45","-4,45"
"26 août 2025 15:43:54 UTC","25403267282","Commande","404-2603500-0554751","JOLL036B","Jolly Pets Ballon de Foot de 15 cm","1","amazon.fr","Amazon","Lons","","64140","","17,71","3,54","3,32","0,67","0","0","0","0","0","-3,86","-11,75","-0,31","0","9,32"
